episode,cpu_time,seed,total_reward,timesteps,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y
50,6.1875,42,0.5,100,0.5,17,15,0,27,0.5,1,5,19,28,0.5,1,24,7,0,-1.0,6,13,19,20,0.5,18,15,6,11,-1.0,0,3,10,23,-1.0,6,27,12,14,0.5,13,22,0,17,0.5,13,15,7,14,0.5,6,23,7,12
51,5.078125,42,15.0,84,1.5,5,29,12,15,1.5,19,12,13,22,1.5,11,14,6,23,1.5,15,0,7,4,1.5,1,2,15,1,1.5,15,22,6,4,1.5,6,25,0,2,1.5,6,16,1,7,1.5,12,29,1,17,1.5,13,15,8,14
52,5.765625,42,3.5,100,0.5,19,27,18,0,0.5,11,28,6,27,0.5,1,2,7,7,-1.0,17,29,15,0,0.5,10,1,6,3,0.5,17,28,7,13,0.5,19,11,7,0,0.5,16,22,0,9,0.5,19,20,6,17,0.5,1,15,0,18
53,6.046875,42,-2.5,100,0.5,1,4,4,0,0.5,0,10,0,19,0.5,11,0,2,1,0.5,19,8,14,0,-1.0,1,11,19,28,-1.0,7,5,1,23,-1.0,19,11,1,14,-1.0,19,16,0,3,0.5,5,1,7,10,-1.0,1,25,10,20
54,6.265625,42,2.0,100,0.5,18,0,0,13,0.5,12,14,6,5,0.5,16,14,19,14,0.5,11,22,9,1,0.5,11,14,6,11,0.5,1,25,15,14,0.5,17,29,10,26,-1.0,6,21,19,2,0.5,18,14,14,1,-1.0,10,1,14,28
55,5.796875,42,3.5,100,0.5,7,8,10,20,0.5,7,13,7,12,0.5,6,26,8,0,0.5,18,14,6,5,0.5,15,22,18,1,0.5,18,0,19,9,0.5,6,3,5,0,-1.0,6,12,10,19,0.5,8,15,0,27,0.5,12,29,6,15
56,6.078125,42,3.5,100,0.5,6,19,1,29,0.5,0,1,5,1,0.5,6,5,1,2,0.5,6,17,7,0,0.5,19,11,19,13,0.5,0,24,6,0,0.5,0,5,1,13,-1.0,1,10,6,24,0.5,19,29,10,25,0.5,11,0,13,0
57,6.125,42,0.5,100,-1.0,0,1,10,28,0.5,11,1,19,7,0.5,13,28,7,15,0.5,13,14,15,14,0.5,3,0,7,7,-1.0,10,23,19,25,0.5,10,15,16,22,0.5,8,14,11,28,-1.0,6,23,19,2,0.5,1,8,19,26
58,6.28125,42,2.0,100,0.5,19,21,6,28,0.5,0,26,0,24,0.5,7,14,19,26,0.5,18,29,6,23,0.5,16,0,10,0,0.5,14,0,14,14,0.5,3,29,16,29,-1.0,0,16,19,23,0.5,10,28,11,22,-1.0,7,3,11,28
59,6.375,42,15.0,100,1.5,17,14,7,14,1.5,0,1,18,15,1.5,0,28,7,4,1.5,11,1,19,1,1.5,19,23,19,21,1.5,1,5,4,29,1.5,4,0,0,9,1.5,6,7,19,26,1.5,14,15,15,29,1.5,14,29,7,10
60,5.71875,42,3.5,100,0.5,1,25,2,0,0.5,1,20,0,12,0.5,10,1,6,13,-1.0,11,22,1,24,0.5,0,16,6,29,0.5,6,2,9,1,0.5,19,24,16,22,0.5,0,19,0,8,0.5,6,22,19,12,0.5,16,14,17,14
61,5.84375,42,2.0,100,0.5,6,12,14,22,0.5,11,29,0,23,0.5,15,28,10,28,0.5,15,14,19,8,-1.0,19,14,16,22,0.5,19,19,0,1,0.5,0,11,18,29,0.5,13,28,1,23,-1.0,0,25,6,18,0.5,12,15,6,15
62,5.0625,42,15.0,81,1.5,6,29,13,14,1.5,8,15,6,23,1.5,0,6,18,14,1.5,2,0,1,28,1.5,19,18,10,25,1.5,1,23,15,1,1.5,18,15,6,19,1.5,12,22,1,24,1.5,0,1,19,6,1.5,7,15,12,14
63,3.125,42,15.0,54,1.5,15,29,9,15,1.5,7,0,12,15,1.5,6,18,6,6,1.5,13,22,12,22,1.5,19,7,18,29,1.5,8,14,0,26,1.5,6,7,2,29,1.5,10,21,0,19,1.5,18,14,19,4,1.5,4,29,1,12
64,6.046875,42,2.0,100,-1.0,6,25,10,17,0.5,15,28,0,13,0.5,6,21,6,17,0.5,11,14,14,15,-1.0,9,0,18,14,0.5,7,1,1,1,0.5,13,29,0,27,0.5,4,1,10,22,0.5,16,28,1,12,0.5,19,29,13,14
65,5.953125,42,-1.0,100,0.5,1,20,0,4,0.5,0,15,7,0,0.5,6,8,6,24,-1.0,6,11,11,1,-1.0,1,0,7,1,0.5,7,11,1,16,0.5,19,10,10,1,-1.0,0,18,19,2,-1.0,6,6,5,0,0.5,0,23,19,21
66,4.3125,42,15.0,70,1.5,19,21,10,14,1.5,6,7,19,26,1.5,19,6,14,22,1.5,19,25,5,1,1.5,7,13,19,5,1.5,19,4,6,16,1.5,19,20,1,23,1.5,3,29,8,15,1.5,15,0,6,2,1.5,9,1,19,9
67,4.328125,42,15.0,72,1.5,10,27,19,1,1.5,6,1,16,14,1.5,1,10,10,19,1.5,18,14,10,14,1.5,0,5,3,1,1.5,1,19,1,5,1.5,10,21,6,7,1.5,1,25,1,27,1.5,11,28,0,0,1.5,4,29,0,13
68,5.6875,42,2.5,100,0.5,6,28,19,7,0.5,12,15,10,14,-0.5,1,28,6,1,0.5,19,28,1,12,0.5,7,7,16,1,0.5,16,0,17,0,0.5,11,1,12,14,0.5,10,20,1,9,-1.0,18,28,2,1,0.5,19,18,7,5
69,5.03125,42,2.0,100,0.5,11,28,14,22,0.5,6,27,0,15,-1.0,1,1,19,26,0.5,7,15,1,26,0.5,19,19,0,9,0.5,0,23,0,8,0.5,6,25,19,20,0.5,19,15,10,17,0.5,6,1,4,1,-1.0,15,29,0,11
70,3.0,42,15.0,48,1.5,8,0,0,13,1.5,0,25,5,0,1.5,11,1,7,10,1.5,0,11,1,17,1.5,5,29,13,1,1.5,7,2,6,16,1.5,2,0,15,29,1.5,18,14,19,24,1.5,16,1,19,6,1.5,0,10,7,0
71,2.25,42,15.0,37,1.5,6,23,7,10,1.5,18,28,15,29,1.5,1,7,7,4,1.5,0,25,6,26,1.5,0,0,6,4,1.5,6,18,7,14,1.5,1,22,2,29,1.5,6,22,10,0,1.5,1,4,0,6,1.5,4,0,6,21
72,5.453125,42,2.5,100,0.5,1,29,14,28,0.5,7,7,7,11,0.5,18,28,7,3,-1.0,1,25,7,8,0.5,6,1,1,26,0.5,17,29,12,28,0.5,8,15,6,4,0.5,19,10,0,11,-0.5,1,22,6,3,0.5,10,22,19,14
73,3.21875,42,15.0,59,1.5,1,13,19,14,1.5,0,4,10,28,1.5,19,11,7,6,1.5,6,1,0,25,1.5,10,24,0,7,1.5,18,28,0,20,1.5,13,22,0,2,1.5,1,1,13,15,1.5,1,4,17,0,1.5,0,10,1,5
74,3.71875,42,15.0,76,1.5,10,16,10,27,1.5,0,1,4,0,1.5,3,1,1,28,1.5,18,1,15,28,1.5,10,21,1,7,1.5,1,25,18,14,1.5,0,20,9,0,1.5,7,11,19,28,1.5,1,22,7,2,1.5,12,29,19,6
75,3.71875,42,15.0,68,1.5,10,1,1,4,1.5,0,18,4,1,1.5,6,10,1,19,1.5,19,9,0,25,1.5,19,22,9,15,1.5,1,26,14,15,1.5,19,11,17,0,1.5,19,26,10,23,1.5,7,2,6,0,1.5,10,24,16,22
76,2.8125,42,15.0,54,1.5,11,1,13,14,1.5,14,15,5,0,1.5,6,7,14,22,1.5,18,28,18,0,1.5,17,14,11,29,1.5,8,0,6,15,1.5,6,22,0,4,1.5,0,6,13,22,1.5,6,0,1,7,1.5,0,17,14,1
77,5.640625,42,3.5,100,0.5,0,28,1,9,0.5,1,2,0,0,0.5,12,14,19,12,0.5,1,24,19,28,0.5,1,3,7,14,-1.0,17,15,13,0,0.5,6,0,0,13,0.5,15,28,2,0,0.5,19,4,16,14,0.5,10,21,0,27
78,4.25,42,15.0,70,1.5,19,28,9,0,1.5,19,6,0,11,1.5,0,20,7,0,1.5,0,29,2,29,1.5,10,19,10,28,1.5,0,3,19,2,1.5,10,0,6,23,1.5,10,17,14,0,1.5,10,18,1,7,1.5,6,16,1,11
79,5.1875,42,15.0,89,1.5,4,1,18,1,1.5,0,4,1,12,1.5,0,11,10,0,1.5,17,28,10,27,1.5,12,0,17,29,1.5,10,22,1,5,1.5,1,0,1,22,1.5,1,13,10,25,1.5,6,6,19,1,1.5,19,24,1,28
80,4.5,42,15.0,76,1.5,15,0,1,4,1.5,2,1,0,8,1.5,15,1,16,15,1.5,15,14,19,16,1.5,8,15,19,12,1.5,8,14,13,29,1.5,6,18,19,26,1.5,10,15,0,2,1.5,12,22,6,24,1.5,14,1,7,15
81,4.75,42,15.0,81,1.5,6,26,7,5,1.5,11,29,19,11,1.5,6,18,18,15,1.5,15,22,1,10,1.5,19,16,19,21,1.5,6,10,1,6,1.5,8,1,12,28,1.5,19,4,1,15,1.5,6,21,1,4,1.5,0,21,2,0
82,5.84375,42,2.0,100,0.5,1,25,0,20,0.5,11,15,10,16,0.5,6,14,6,29,0.5,19,2,16,0,-1.0,6,6,11,28,0.5,19,26,6,22,0.5,19,9,8,0,0.5,14,14,19,18,-1.0,1,18,14,22,0.5,7,5,9,0
83,5.40625,42,15.0,87,1.5,19,8,14,28,1.5,0,22,6,14,1.5,0,0,16,28,1.5,16,15,19,25,1.5,18,29,0,5,1.5,0,23,1,16,1.5,15,29,6,26,1.5,7,13,19,27,1.5,13,14,7,2,1.5,18,28,1,18
84,6.46875,42,3.5,100,0.5,19,4,0,2,0.5,10,16,0,15,0.5,10,19,1,15,0.5,6,7,7,13,0.5,6,18,10,17,-1.0,13,29,6,16,0.5,19,14,6,21,0.5,10,25,7,5,0.5,10,29,10,23,0.5,6,1,19,15
85,2.015625,42,15.0,39,1.5,6,11,19,19,1.5,5,1,15,0,1.5,12,28,10,19,1.5,6,4,0,22,1.5,15,22,1,25,1.5,6,5,0,10,1.5,6,14,0,5,1.5,1,7,7,6,1.5,6,18,14,1,1.5,1,0,1,15
86,4.90625,42,15.0,96,1.5,3,0,0,29,1.5,0,13,1,26,1.5,7,5,11,28,1.5,1,12,0,20,1.5,1,16,0,1,1.5,19,2,7,2,1.5,6,6,1,29,1.5,8,1,19,20,1.5,7,7,0,10,1.5,19,24,7,8
87,5.703125,42,3.5,100,0.5,19,3,15,22,0.5,5,29,6,9,0.5,15,15,19,19,0.5,1,1,10,26,0.5,1,23,0,24,0.5,12,15,5,0,0.5,7,11,19,1,-1.0,4,1,19,25,0.5,0,25,19,7,0.5,1,27,19,26
88,2.515625,42,15.0,41,1.5,6,21,14,28,1.5,6,25,0,18,1.5,0,22,1,27,1.5,1,20,8,1,1.5,19,16,6,20,1.5,10,20,17,0,1.5,0,16,18,0,1.5,10,0,1,7,1.5,1,1,10,27,1.5,5,0,9,14
